"","metabolite_name","metabolite_id","refmet_name"
"ME104137","(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate","ME104137","15S-HETE"
"ME104212","17beta-Methylestra-1,3,5(10)-trien-3-ol","ME104212","17beta-Methylestra-1,3,5(10)-trien-3-ol"
"ME104201","1,8-Diazacyclotetradecane-2,9-dione","ME104201","1,8-Diazacyclotetradecane-2,9-dione"
"ME104213","1'-Acetoxychavicol acetate_1","ME104213",""
"ME104214","1'-Acetoxychavicol acetate_2","ME104214",""
"ME104215","1-Aminocyclopropane-1-carboxylate_1","ME104215","1-Aminocyclopropanecarboxylic acid"
"ME104216","1-Aminocyclopropane-1-carboxylate_2","ME104216","1-Aminocyclopropanecarboxylic acid"
"ME104179","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide","ME104179","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"
"ME104217","1-Hydroxy-2-methyl-2-butenyl 4-diphosphate","ME104217",""
"ME104218","1-Methyladenosine","ME104218","1-Methyladenosine"
"ME104180","1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol_1","ME104180",""
"ME104181","1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol_2","ME104181",""
"ME104219","1-Naphthaleneacetic acid sodium salt","ME104219",""
"ME104220","1-Octanal_1","ME104220","Caprylaldehyde"
"ME104221","1-Octanal_2","ME104221","Caprylaldehyde"
"ME104222","1-Octanal_3","ME104222","Caprylaldehyde"
"ME104223","1-Octanal_4","ME104223","Caprylaldehyde"
"ME104224","1-Phenyl-5-mercaptotetrazole","ME104224",""
"ME104225","1-Phenylethylamine","ME104225",""
"ME104226","1-Pyrenylsulfate_1","ME104226",""
"ME104227","1-Pyrenylsulfate_2","ME104227",""
"ME104228","1-Pyrroline-2-carboxylate","ME104228","1-Pyrroline-2-carboxylic acid"
"ME104138","(1-Ribosylimidazole)-4-acetate_1","ME104138","Imidazoleacetic acid riboside"
"ME104139","(1-Ribosylimidazole)-4-acetate_2","ME104139","Imidazoleacetic acid riboside"
"ME104140","(1S,3R)-3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate","ME104140",""
"ME104268","21-Hydroxypregn-4-ene-3,20-dione hydrogen succinate","ME104268",""
"ME104237","2,2-Dichloro-1,1-ethanediol","ME104237",""
"ME104229","2-(2'-Methylthio)ethylmalic acid","ME104229",""
"ME104238","2,3,5-Trihydroxytoluene","ME104238","2,3,5-Trihydroxytoluene"
"ME104239","2,3,6-Trihydroxypyridine","ME104239","2,3,6-Trihydroxypyridine"
"ME104240","2,3-Dehydro-UWM6","ME104240",""
"ME104241","2,3-Dihydrothienamycin","ME104241",""
"ME104242","2,3-Dihydroxycyclopentaneundecanoic acid","ME104242",""
"ME104243","2,3-Dihydroxy-p-cumate_1","ME104243",""
"ME104244","2,3-Dihydroxy-p-cumate_2","ME104244",""
"ME104245","2,3-Dihydroxy-p-cumate_3","ME104245",""
"ME104246","2,3-Dimethylmaleate_1","ME104246","Dimethyl maleate"
"ME104247","2,3-Dimethylmaleate_2","ME104247","Dimethyl maleate"
"ME104248","2,3-Dimethylmaleate_3","ME104248","Dimethyl maleate"
"ME104267","2-[3-Ethyl-5-(4-methoxyphenyl)-1H-pyrazol-4-yl]phenol","ME104267",""
"ME104230","2-(3'-Methylthio)propylmalic acid_1","ME104230","2-(3-Methylthiopropyl)malic acid"
"ME104231","2-(3'-Methylthio)propylmalic acid_2","ME104231","2-(3-Methylthiopropyl)malic acid"
"ME104232","2-(3'-Methylthio)propylmalic acid_3","ME104232","2-(3-Methylthiopropyl)malic acid"
"ME104233","2-(3'-Methylthio)propylmalic acid_4","ME104233","2-(3-Methylthiopropyl)malic acid"
"ME104249","2,4,6-Trihydroxybenzophenone","ME104249","2,4,6-Trihydroxybenzophenone"
"ME104250","2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose_1","ME104250",""
"ME104251","2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose_2","ME104251",""
"ME104252","2,4-DB","ME104252","4-(2,4-dichlorophenoxy)butanoic acid"
"ME104253","2,4-Diamino-6-nitrotoluene","ME104253",""
"ME104254","2,4-Dihydroxypteridine","ME104254","Lumazine"
"ME104255","2,4-Dinitrotoluene","ME104255","2,4-Dinitrotoluene"
"ME104256","2,4-DP","ME104256","Dichlorprop"
"ME104257","2,5-Dihydroxypyridine_1","ME104257",""
"ME104258","2,5-Dihydroxypyridine_2","ME104258",""
"ME104259","2,5-Dioxopentanoate_1","ME104259",""
"ME104260","2,5-Dioxopentanoate_2","ME104260",""
"ME104261","2,5-Furandicarboxylate_1","ME104261",""
"ME104262","2,5-Furandicarboxylate_2","ME104262",""
"ME104263","2,5-Furandicarboxylate_3","ME104263",""
"ME104264","2,5-Furandicarboxylate_4","ME104264",""
"ME104234","2-(6'-Methylthio)hexylmalic acid","ME104234",""
"ME104265","2,7-Anhydro-alpha-N-acetylneuraminic acid_1","ME104265","N-Acetyl-2,7-anhydro-alpha-neuraminic acid"
"ME104266","2,7-Anhydro-alpha-N-acetylneuraminic acid_2","ME104266","N-Acetyl-2,7-anhydro-alpha-neuraminic acid"
"ME104235","2-(Acetamidomethylene)succinate","ME104235",""
"ME104269","2-Aceto-2-hydroxybutanoate","ME104269","2-Acetolactate"
"ME104270","2-Acetoxyamino-1-methyl-6-phenylimidazo[4,5-b]pyridine","ME104270",""
"ME104271","2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid","ME104271",""
"ME104272","2-Amino-4-chloro-4-pentenoic acid","ME104272",""
"ME104273","2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine","ME104273","7,8-Dihydroneopterin"
"ME104274","2-Amino-4-oxo-6-(1',2',3'-trihydroxypropyl)-diquinoid-7,8-dihydroxypterin","ME104274",""
"ME104275","2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole","ME104275",""
"ME104276","2-Amino-5-chlorophenol","ME104276",""
"ME104277","2-Amino-5-phosphopentanoic acid","ME104277",""
"ME104278","2-Amino-9,10-epoxy-8-oxodecanoic acid","ME104278","2-Amino-9,10-epoxy-8-oxodecanoic acid"
"ME104279","2-Aminoadenosine","ME104279","2-Aminoadenosine"
"ME104280","2-Aminobenzenesulfonate","ME104280","2-Aminobenzenesulfonic acid"
"ME104281","2-Aminomuconate","ME104281","2-Aminomuconic acid"
"ME104282","2-Aminomuconate semialdehyde","ME104282",""
"ME104283","2-Aminophenol_1","ME104283","2-Aminophenol"
"ME104284","2-Aminophenol_2","ME104284","2-Aminophenol"
"ME104285","2-Aminophenol_3","ME104285","2-Aminophenol"
"ME104286","2-deoxy-D-galactose (fructose/glucose)","ME104286",""
"ME104287","2-Dimethylamino-5,6-dimethylpyrimidin-4-ol","ME104287","2-(Dimethylamino)-5,6-dimethylpyrimidin-4-ol"
"ME104288","2-Ethylhexyl phthalate_1","ME104288","Monoethylhexyl phthalic acid"
"ME104289","2-Ethylhexyl phthalate_2","ME104289","Monoethylhexyl phthalic acid"
"ME104290","2-Ethylhexyl phthalate_3","ME104290","Monoethylhexyl phthalic acid"
"ME104291","2-Ethylhexyl phthalate_4","ME104291","Monoethylhexyl phthalic acid"
"ME104292","2-Furoate","ME104292","2-Furoic acid"
"ME104293","2-Heptanone_1","ME104293","2-Heptanone"
"ME104294","2-Heptanone_2","ME104294","2-Heptanone"
"ME104295","2-Hydroxy-1,4-benzoquinone_1","ME104295",""
"ME104296","2-Hydroxy-1,4-benzoquinone_2","ME104296",""
"ME104297","2-Hydroxy-2,4-pentadienoate","ME104297","2-Hydroxypenta-2,4-dienoic acid"
"ME104298","2-Hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate","ME104298",""
"ME104299","2-Hydroxycyclohexan-1-one_1","ME104299","2-Hydroxycyclohexan-1-one"
"ME104300","2-Hydroxycyclohexan-1-one_2","ME104300","2-Hydroxycyclohexan-1-one"
"ME104301","2-Hydroxycyclohexan-1-one_3","ME104301","2-Hydroxycyclohexan-1-one"
"ME104302","2-Hydroxyethylphosphonate","ME104302","2-Hydroxyethylphosphonic acid"
"ME104303","2-Hydroxyfelbamate_1","ME104303","2-Hydroxyfelbamate"
"ME104304","2-Hydroxyfelbamate_2","ME104304","2-Hydroxyfelbamate"
"ME104236","2-(Hydroxymethyl)-3-(acetamidomethylene)succinate","ME104236",""
"ME104305","2-Hydroxymethylclavam","ME104305",""
"ME104306","2-Hydroxymuconate semialdehyde_1","ME104306",""
"ME104307","2-Hydroxymuconate semialdehyde_2","ME104307",""
"ME104308","2-Iodophenol methyl ether","ME104308",""
"ME104309","2-Isopropylmaleate_1","ME104309","Isopropylmaleate"
"ME104310","2-Isopropylmaleate_2","ME104310","Isopropylmaleate"
"ME104311","2-Maleylacetate","ME104311","Maleylacetic acid"
"ME104312","2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate","ME104312","2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate"
"ME104313","2-Methyl-4-chlorophenoxybutyric acid","ME104313",""
"ME104314","2-Methylpropanamine","ME104314",""
"ME104315","2-Naphthol","ME104315","2-Naphthol"
"ME104316","2-Naphthylamine","ME104316","2-Aminonaphthalene"
"ME104317","2-Nitrofluorene","ME104317","2-Nitrofluorene"
"ME104318","2-Oxo-6-methylthiohexanoic acid","ME104318",""
"ME104319","2-Oxo-8-methylthiooctanoic acid","ME104319",""
"ME104320","2-Oxoadipate_1","ME104320","Oxoadipic acid"
"ME104321","2-Oxoadipate_2","ME104321","Oxoadipic acid"
"ME104322","2-Oxoadipate_3","ME104322","Oxoadipic acid"
"ME104323","2-Oxobutanoate_1","ME104323","3-Methyl pyruvic acid"
"ME104324","2-Oxobutanoate_2","ME104324","3-Methyl pyruvic acid"
"ME104325","2-Oxoglutaramate","ME104325","2-Keto-glutaramic acid"
"ME104326","2-Oxoglutarate","ME104326","2-Oxoglutaric acid"
"ME104327","2-Oxooctadecanoic acid_1","ME104327","2-Oxo-octadecanoic acid"
"ME104328","2-Oxooctadecanoic acid_2","ME104328","2-Oxo-octadecanoic acid"
"ME104329","2-Oxopropyl-CoM","ME104329","2-Oxopropyl-CoM"
"ME104330","2-Oxosuberate_1","ME104330",""
"ME104331","2-Oxosuberate_2","ME104331",""
"ME104332","2-Pyridyl hydroxymethane sulfonic acid_1","ME104332","2-Pyridyl hydroxymethane sulfonic acid"
"ME104333","2-Pyridyl hydroxymethane sulfonic acid_2","ME104333","2-Pyridyl hydroxymethane sulfonic acid"
"ME104334","2-Thiophenesulfonamide","ME104334",""
"ME104335","2-trans,6-trans-Farnesal_1","ME104335","(2-trans,6-trans)-Farnesal"
"ME104336","2-trans,6-trans-Farnesal_2","ME104336","(2-trans,6-trans)-Farnesal"
"ME104337","2-trans,6-trans-Farnesal_3","ME104337","(2-trans,6-trans)-Farnesal"
"ME104338","3-(2-Hydroxyphenyl)propanoate_1","ME104338","3-(2-Hydroxyphenyl)propanoic acid"
"ME104339","3-(2-Hydroxyphenyl)propanoate_2","ME104339","3-(2-Hydroxyphenyl)propanoic acid"
"ME104340","3-(2-Hydroxyphenyl)propanoate_3","ME104340","3-(2-Hydroxyphenyl)propanoic acid"
"ME104341","3-(2-Hydroxyphenyl)propanoate_4","ME104341","3-(2-Hydroxyphenyl)propanoic acid"
"ME104342","3-(3,4-Dichlorophenyl)-1-hydroxy-1-methylurea","ME104342",""
"ME104361","3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate_1","ME104361",""
"ME104362","3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate_2","ME104362",""
"ME104363","3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate_3","ME104363",""
"ME104350","3,3'-Dimethoxybenzidine-4,4'-diisocyanate","ME104350",""
"ME104351","3,4-Dihydroxy-3,4-dihydro-9-fluorenone","ME104351","3,4-Dihydroxy-3,4-dihydro-9-fluorenone"
"ME104352","3,4-Dihydroxy-L-phenylalanine","ME104352","DOPA"
"ME104353","3,4-Dihydroxymandelate","ME104353","3,4-Dihydroxymandelic acid"
"ME104354","3,4-Dihydroxyphenylethyleneglycol","ME104354","3,4-Dihydroxyphenylglycol"
"ME104343","3-(4-Hydroxyphenyl)lactate","ME104343","Hydroxyphenyllactic acid"
"ME104344","3-(4-Hydroxyphenyl)pyruvate_1","ME104344","4-Hydroxyphenylpyruvic acid"
"ME104345","3-(4-Hydroxyphenyl)pyruvate_2","ME104345","4-Hydroxyphenylpyruvic acid"
"ME104346","3-(4-Hydroxyphenyl)pyruvate_3","ME104346","4-Hydroxyphenylpyruvic acid"
"ME104355","3,4-Methylenedioxymethamphetamine","ME104355","3,4-Methylenedioxymethamphetamine"
"ME104356","3',5'-Cyclic AMP","ME104356","3',5' cyclic AMP"
"ME104357","3',5'-Cyclic GMP","ME104357","3',5' cyclic GMP"
"ME104358","3',5'-Cyclic IMP","ME104358","3',5' cyclic IMP"
"ME104359","3,5-Dichloro-4-hydroxyphenylpyruvate","ME104359","3,5-Dichloro-4-hydroxyphenylpyruvate"
"ME104360","3,9-Dihydroxypterocarpan","ME104360","(6aR,11aR)-3,9-Dihydroxypterocarpan"
"ME104364","3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate_1","ME104364",""
"ME104365","3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate_2","ME104365",""
"ME104366","3-AMINOISOBUTANOATE","ME104366","3-Aminoisobutanoic acid"
"ME104141","(3-Arylcarbonyl)-alanine","ME104141",""
"ME104367","3beta-(Acetyloxy)-5beta-methyl-6beta-chloroestr-9-en-17-one","ME104367",""
"ME104368","3-Butylidene-7-hydroxyphthalide_1","ME104368","Phthalide"
"ME104369","3-Butylidene-7-hydroxyphthalide_2","ME104369","Phthalide"
"ME104370","3-Butyn-1-ol","ME104370",""
"ME104371","3-Dehydroquinate_1","ME104371","3-Dehydroquinate"
"ME104372","3-Dehydroquinate_2","ME104372","3-Dehydroquinate"
"ME104373","3-Dehydroshikimate_1","ME104373","3-Dehydroshikimate"
"ME104374","3-Dehydroshikimate_2","ME104374","3-Dehydroshikimate"
"ME104375","3'-Demethylstaurosporine","ME104375",""
"ME104376","3-Dimethylallyl-4-hydroxymandelic acid","ME104376",""
"ME104347","3-(Dimethylamino)propyl benzoate","ME104347","3-(Dimethylamino)propyl benzoate"
"ME104142","(3E)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate","ME104142",""
"ME104377","3-Ethoxyandrosta-3,5-dien-17beta-ol propanoate","ME104377",""
"ME104378","3-Fluoro-1-(4-hydroxyphenyl)-1-propanone","ME104378",""
"ME104379","3-Fluoro-cis,cis-muconate","ME104379",""
"ME104380","3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate_1","ME104380",""
"ME104381","3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate_2","ME104381",""
"ME104382","3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate_3","ME104382",""
"ME104383","3-Fluoro-D-alanine","ME104383",""
"ME104384","3-HYDROXY-3-METHYLGLUTARATE","ME104384","3-Hydroxymethylglutaric acid"
"ME104385","3-Hydroxyanthranilate","ME104385","3-Hydroxyanthranilic acid"
"ME104386","3''-Hydroxy-geranylhydroquinone","ME104386",""
"ME104387","3-Hydroxyhexobarbital_1","ME104387","3'-Hydroxyhexobarbital"
"ME104388","3-Hydroxyhexobarbital_2","ME104388","3'-Hydroxyhexobarbital"
"ME104389","3-Hydroxykynurenamine","ME104389","3-Hydroxykynurenamine"
"ME104390","3-HYDROXYKYNURENINE","ME104390","Hydroxykynurenine"
"ME104391","3-Hydroxy-L-glutamate","ME104391","3-Hydroxyglutamic acid"
"ME104348","3-(Imidazol-4-yl)-2-oxopropyl phosphate_1","ME104348","Imidazole acetol-phosphate"
"ME104349","3-(Imidazol-4-yl)-2-oxopropyl phosphate_2","ME104349","Imidazole acetol-phosphate"
"ME104392","3-Isopropylcatechol","ME104392","3-Isopropylcatechol"
"ME104393","3-Mercaptolactate","ME104393",""
"ME104394","3-Methoxybenzyl alcohol_1","ME104394","3-Methoxybenzyl alcohol"
"ME104395","3-Methoxybenzyl alcohol_2","ME104395","3-Methoxybenzyl alcohol"
"ME104396","3-Methoxybenzyl alcohol_3","ME104396","3-Methoxybenzyl alcohol"
"ME104397","3-Methoxybenzyl alcohol_4","ME104397","3-Methoxybenzyl alcohol"
"ME104398","3-Methyl-19-nor-17alpha-pregna-1,3,5(10)-trien-17-ol","ME104398",""
"ME104399","3-Methyl-2-oxobutanoic acid_1","ME104399","Ketoisovaleric acid"
"ME104400","3-Methyl-2-oxobutanoic acid_2","ME104400","Ketoisovaleric acid"
"ME104401","3-Methyladenine_1","ME104401","3-Methyladenine"
"ME104402","3-Methyladenine_2","ME104402","3-Methyladenine"
"ME104403","3-Methylbutanamine","ME104403","3-Methyl-1-butylamine"
"ME104404","3-Methyl-cis,cis-hexadienedioate_1","ME104404",""
"ME104405","3-Methyl-cis,cis-hexadienedioate_2","ME104405",""
"ME104406","3-Methyleneoxindole_1","ME104406","3-Methyleneoxindole"
"ME104407","3-Methyleneoxindole_2","ME104407","3-Methyleneoxindole"
"ME104408","3-Methylguanine_1","ME104408","3-Methylguanine"
"ME104409","3-Methylguanine_2","ME104409","3-Methylguanine"
"ME104410","3-Methylguanine_3","ME104410","3-Methylguanine"
"ME104411","3-METHYLHISTAMINE","ME104411","3-Methylhistamine"
"ME104412","3-Nitrofluoranthene","ME104412",""
"ME104413","3-Oxo-delta4-steroid","ME104413","Androst-4-en-3-one"
"ME104414","3-Oxododecanoic acid_1","ME104414","3-Oxododecanoic acid"
"ME104415","3-Oxododecanoic acid_2","ME104415","3-Oxododecanoic acid"
"ME104416","3-Oxododecanoic acid_3","ME104416","3-Oxododecanoic acid"
"ME104417","3-Phosphonooxypyruvate","ME104417","Phosphohydroxypyruvic acid"
"ME104143","(3S,5S)-Carbapenam-3-carboxylic acid_1","ME104143","(3S,5S)-Carbapenam-3-carboxylic acid"
"ME104144","(3S,5S)-Carbapenam-3-carboxylic acid_2","ME104144","(3S,5S)-Carbapenam-3-carboxylic acid"
"ME104145","(3S,5S)-Carbapenam-3-carboxylic acid_3","ME104145","(3S,5S)-Carbapenam-3-carboxylic acid"
"ME104418","3-Sulfocatechol","ME104418","3-Sulfocatechol"
"ME104419","3-Sulfomuconate","ME104419",""
"ME104420","3-UREIDOPROPIONATE","ME104420","Ureidopropionic acid"
"ME104421","4-(2-Aminophenyl)-2,4-dioxobutanoate_1","ME104421","4-(2-Aminophenyl)-2,4-dioxobutanoic acid"
"ME104422","4-(2-Aminophenyl)-2,4-dioxobutanoate_2","ME104422","4-(2-Aminophenyl)-2,4-dioxobutanoic acid"
"ME104423","4-(3-Methylbut-2-enyl)-L-tryptophan","ME104423",""
"ME104428","4',5,6,7-Tetramethoxyflavone","ME104428",""
"ME104429","4,5-Methylenedioxy-6-hydroxyaurone_1","ME104429","Cephalocerone"
"ME104430","4,5-Methylenedioxy-6-hydroxyaurone_2","ME104430","Cephalocerone"
"ME104432","4-Acetamido-2-amino-6-nitrotoluene","ME104432",""
"ME104433","4-ACETAMIDOBUTANOATE","ME104433","4-Acetamidobutanoic acid"
"ME104434","4-Acetamidobutanoate_1","ME104434","4-Acetamidobutanoic acid"
"ME104435","4-Acetamidobutanoate_2","ME104435","4-Acetamidobutanoic acid"
"ME104436","4-Acetamidobutanoate_3","ME104436","4-Acetamidobutanoic acid"
"ME104437","4a-Hydroxytetrahydrobiopterin","ME104437","4a-Hydroxytetrahydrobiopterin"
"ME104438","4-Amino-1-piperidinecarboxylic acid","ME104438","4-Amino-1-piperidinecarboxylic acid"
"ME104439","4-Amino-2-hydroxylamino-6-nitrotoluene","ME104439",""
"ME104440","4-Amino-4-deoxychorismate_1","ME104440","4-Amino-4-deoxychorismic acid"
"ME104441","4-Amino-4-deoxychorismate_2","ME104441","4-Amino-4-deoxychorismic acid"
"ME104442","4-Amino-4-deoxychorismate_3","ME104442","4-Amino-4-deoxychorismic acid"
"ME104443","4-Amino-5-hydroxymethyl-2-methylpyrimidine_1","ME104443","4-Amino-5-hydroxymethyl-2-methylpyrimidine"
"ME104444","4-Amino-5-hydroxymethyl-2-methylpyrimidine_2","ME104444","4-Amino-5-hydroxymethyl-2-methylpyrimidine"
"ME104445","4-Amino-5-hydroxymethyl-2-methylpyrimidine_3","ME104445","4-Amino-5-hydroxymethyl-2-methylpyrimidine"
"ME104446","4-Aminobiphenyl","ME104446","4-Aminobiphenyl"
"ME104424","4-(beta-Acetylaminoethyl)imidazole_1","ME104424","N-Acetylhistamine"
"ME104425","4-(beta-Acetylaminoethyl)imidazole_2","ME104425","N-Acetylhistamine"
"ME104426","4-(beta-Acetylaminoethyl)imidazole_3","ME104426","N-Acetylhistamine"
"ME104447","4-Bromophenylthiourea_1","ME104447","4-Bromophenylthiourea"
"ME104448","4-Bromophenylthiourea_2","ME104448","4-Bromophenylthiourea"
"ME104449","4-Chlorobiphenyl","ME104449","4-Chlorobiphenyl"
"ME104450","4-Chlorophenoxyacetate","ME104450",""
"ME104451","4-COUMARATE","ME104451","cis-p-Coumaric acid"
"ME104452","4'-Demethyldeoxypodophyllotoxin","ME104452",""
"ME104453","4-Dimethylallyl-L-abrine","ME104453","4-(3-Methylbut-2-enyl)-L-abrine"
"ME104454","4-Fluorocyclohexadiene-cis,cis-1,2-diol_1","ME104454",""
"ME104455","4-Fluorocyclohexadiene-cis,cis-1,2-diol_2","ME104455",""
"ME104456","4-GUANIDINOBUTANOATE","ME104456","4-Guanidinobutanoic acid"
"ME104457","4-Heptyloxybenzoic acid_1","ME104457",""
"ME104458","4-Heptyloxybenzoic acid_2","ME104458",""
"ME104459","4-Heptyloxyphenol_1","ME104459","4-Heptyloxyphenol"
"ME104460","4-Heptyloxyphenol_2","ME104460","4-Heptyloxyphenol"
"ME104461","4-Heptyloxyphenol_3","ME104461","4-Heptyloxyphenol"
"ME104462","4-Heptyloxyphenol_4","ME104462","4-Heptyloxyphenol"
"ME104463","4-Hexyloxyphenol_1","ME104463",""
"ME104464","4-Hexyloxyphenol_2","ME104464",""
"ME104465","4-Hydroxy-2-butynal","ME104465","4-Hydroxybut-2-ynal"
"ME104466","4-Hydroxy-2-quinolinecarboxylic acid_1","ME104466","Kynurenic acid"
"ME104467","4-Hydroxy-2-quinolinecarboxylic acid_2","ME104467","Kynurenic acid"
"ME104468","4-Hydroxy-3-nitrosobenzamide","ME104468","4-Hydroxy-3-nitrosobenzamide"
"ME104469","4'-Hydroxy-3'-prenylacetophenone","ME104469",""
"ME104470","4-Hydroxybenzoate","ME104470","4-Hydroxybenzoic acid"
"ME104471","4-Hydroxybutanoic acid_1","ME104471","4-Hydroxybutyric acid"
"ME104472","4-Hydroxybutanoic acid_2","ME104472","4-Hydroxybutyric acid"
"ME104427","4-(Hydroxylamino)-N,N-dimethylaniline","ME104427","4-(Hydroxylamino)-N,N-dimethylaniline"
"ME104473","4-Hydroxymandelonitrile","ME104473","4-Hydroxymandelonitrile"
"ME104431","4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone","ME104431",""
"ME104474","4-Hydroxymethylphenylhydrazine","ME104474","4-(Hydroxymethyl)phenylhydrazine"
"ME104475","4-Hydroxyphenylacetate_1","ME104475","4-Hydroxyphenyl acetate"
"ME104476","4-Hydroxyphenylacetate_2","ME104476","4-Hydroxyphenyl acetate"
"ME104477","4-IMIDAZOLEACETIC ACID","ME104477","Imidazoleacetic acid"
"ME104478","4-Imidazolone-5-propanoate","ME104478","4-Imidazolone-5-propionic acid"
"ME104479","4-Isopropylbenzaldehyde","ME104479","Cuminaldehyde"
"ME104480","4-Ketocyclophosphamide","ME104480","4-Ketocyclophosphamide"
"ME104481","4-Methyl-2-oxopentanoate_1","ME104481","Ketoleucine"
"ME104482","4-Methyl-2-oxopentanoate_2","ME104482","Ketoleucine"
"ME104483","4-Methylene-L-glutamine_1","ME104483","4-Methylene-glutamine"
"ME104484","4-Methylene-L-glutamine_2","ME104484","4-Methylene-glutamine"
"ME104485","4-Methylthio-2-oxobutanoic acid","ME104485","2-Oxo-4-methylthiobutanoic acid"
"ME104486","4-Nitro-6-oxohepta-2,4-dienedioate","ME104486",""
"ME104487","4-Nitrocatechol","ME104487","4-Nitrocatechol"
"ME104488","4-Nitrophenol","ME104488","4-Nitrophenol"
"ME104489","4-Nitrophenyl-3-ketovalidamine","ME104489",""
"ME104490","4-Nitrosobiphenyl","ME104490",""
"ME104491","4-O-beta-D-Glucosyl-4-hydroxycinnamate","ME104491",""
"ME104492","4-Oxocyclohexanecarboxylate_1","ME104492",""
"ME104493","4-Oxocyclohexanecarboxylate_2","ME104493",""
"ME104494","4-Oxocyclohexanecarboxylate_3","ME104494",""
"ME104495","4-Oxocyclohexanecarboxylate_4","ME104495",""
